Ticker,std,r,VaR,ES
ACN,0.015,0.001,-0.015,-62.284
VRTX,0.028,0.001,-0.028,-63.29
IFF,0.016,0.0,-0.016,-63.478
AMP,0.021,0.001,-0.021,-63.746
UHS,0.021,0.001,-0.021,-63.795
PPG,0.016,0.0,-0.016,-64.169
UPS,0.015,0.001,-0.015,-64.196
RL,0.023,0.0,-0.023,-64.516
SWK,0.019,0.001,-0.019,-64.548
CLX,0.013,0.0,-0.013,-64.914
JNJ,0.011,0.001,-0.011,-65.165
JBHT,0.016,0.001,-0.016,-65.173
TRV,0.014,0.001,-0.014,-66.018
ELV,0.018,0.001,-0.018,-66.808
CI,0.019,0.001,-0.019,-66.917
DE,0.017,0.001,-0.017,-67.012
TYL,0.018,0.001,-0.018,-67.276
ILMN,0.024,0.001,-0.024,-67.737
KMB,0.012,0.0,-0.012,-68.149
NOC,0.015,0.001,-0.015,-68.173
FRT,0.018,0.0,-0.018,-68.214
APD,0.015,0.001,-0.015,-68.678
ZM,0.043,0.002,-0.043,-68.991
BXP,0.017,0.0,-0.017,-69.036
ZBH,0.017,0.0,-0.017,-69.655
PXD,0.027,0.001,-0.027,-69.971
ASML,0.02,0.001,-0.02,-69.992
HSY,0.013,0.001,-0.013,-70.983
SNA,0.017,0.001,-0.017,-72.61
CB,0.014,0.001,-0.014,-72.666
ROK,0.017,0.001,-0.017,-72.783
SBAC,0.016,0.001,-0.016,-72.852
TFX,0.016,0.001,-0.016,-73.497
MCD,0.013,0.001,-0.013,-73.58
SBNY,0.022,0.001,-0.022,-73.612
ANSS,0.017,0.001,-0.017,-74.365
HUM,0.019,0.001,-0.019,-75.495
AAP,0.02,0.001,-0.02,-75.511
SJM,0.014,0.0,-0.014,-75.748
SIVB,0.025,0.001,-0.025,-76.479
TDY,0.017,0.001,-0.017,-77.106
ECL,0.015,0.001,-0.015,-77.37
CMI,0.017,0.0,-0.017,-78.726
FFIV,0.019,0.001,-0.019,-78.734
AMGN,0.016,0.001,-0.016,-79.5
PH,0.019,0.001,-0.019,-79.72
LMT,0.014,0.001,-0.014,-80.573
TMO,0.015,0.001,-0.015,-81.616
MTB,0.019,0.001,-0.019,-82.01
BA,0.024,0.001,-0.024,-82.023
BDX,0.013,0.001,-0.013,-82.113
MMM,0.014,0.0,-0.014,-82.202
FLT,0.02,0.001,-0.02,-83.826
TDG,0.021,0.001,-0.021,-84.297
MHK,0.023,0.0,-0.023,-84.952
ULTA,0.025,0.001,-0.025,-85.777
WHR,0.022,0.001,-0.022,-87.759
MELI,0.028,0.002,-0.028,-88.0
FDS,0.015,0.001,-0.015,-88.794
MLM,0.02,0.001,-0.02,-89.404
WTW,0.014,0.001,-0.014,-89.454
LIN,0.014,0.001,-0.014,-89.997
COST,0.012,0.001,-0.012,-90.203
IBM,0.015,0.0,-0.015,-90.203
FDX,0.018,0.001,-0.018,-90.83
LH,0.016,0.001,-0.016,-90.989
AVB,0.015,0.001,-0.015,-91.068
WAT,0.016,0.001,-0.016,-96.175
